Band Value,first Count
-7,2.188
-6,40.196
-5,261.757
-4,638.843
-3,"1,544.224"
-2,"4,385.373"
-1,"9,754.227"
0,"12,310.047"
1,"9,361.529"
2,"3,778.635"
3,"1,366.988"
4,382.455
5,143.702
6,40.361
7,12.8
8,1.624
